단어,up,down,total,prob_up,prob_down,polarity_score
취하/NNG,115,109,223,3.4038149958473456e-05,4.4634685573209686e-05,0.7625941467122958
지표/NNG;하락/NNG,14,15,28,4.143774777553291e-06,6.142387922918765e-06,0.6746195176133121
신고가종목/NNG,5,18,22,1.4799195634118894e-06,7.370865507502517e-06,0.2007796183372952
政策/NNG,2,17,18,5.919678253647558e-07,6.961372979307933e-06,0.0850360736487368
종목명/NNG,340,387,726,0.000100634530312,0.0001584736084113,0.6350239091598175
글로벌/NNG;통화/NNG;완화/NNG,11,19,29,3.255823039506157e-06,7.780358035697102e-06,0.4184669940082575
노이즈/NNG,65,75,139,1.923895432435456e-05,3.0711939614593825e-05,0.6264324092123611
증시주변자금/NNG,10,20,29,2.9598391268237788e-06,8.189850563891686e-06,0.3614033130071314
조양/NNG,9,10,18,2.663855214141401e-06,4.094925281945843e-06,0.6505259634128366
구조적/VAX;저성장/NNG,13,17,29,3.847790864870912e-06,6.961372979307933e-06,0.5527344787167892
진작/NNG,107,144,250,3.1670278657014435e-05,5.8966924060020136e-05,0.5370854790522648
금리/NNG;마이너스/NNG,19,30,48,5.62369434096518e-06,1.228477584583753e-05,0.4577775298090331
논거/NNG,30,29,58,8.879517380471337e-06,1.1875283317642944e-05,0.7477309924285478
회복/NNG;조짐/NNG,35,45,79,1.0359436943883226e-05,1.842716376875629e-05,0.5621829313444268
유효경쟁/NNG,365,376,740,0.000108034128129,0.0001539691906011,0.7016606874872499
통안계정/NNG,33,49,81,9.76746911851847e-06,2.006513388153463e-05,0.4867881358871566
경영자/NNG,13,32,44,3.847790864870912e-06,1.3103760902226695e-05,0.2936401918182942
무역/NNG;분쟁/NNG;우려/NNG,8,11,18,2.367871301459023e-06,4.504417810140428e-06,0.5256775461921911
금금/NNG,22,53,74,6.511646079012314e-06,2.1703103994312966e-05,0.3000329391002601
글로벌/NNG;경제/NNG;성장/NNG,16,17,32,4.735742602918046e-06,6.961372979307933e-06,0.6802885891898944
상실/NNG,103,99,201,3.048634300628492e-05,4.053976029126384e-05,0.7520109341360512
농후/NNG,8,13,20,2.367871301459023e-06,5.323402866529596e-06,0.4448040775472386
판명/NNG,8,14,21,2.367871301459023e-06,5.73289539472418e-06,0.4130323577224359
이상거래/NNG,108,120,227,3.196626256969681e-05,4.913910338335012e-05,0.6505259634128365
리브/NNG,63,63,125,1.8646986498989807e-05,2.579802927625881e-05,0.7228066260142628
불안/NNG;확대/NNG,9,12,20,2.663855214141401e-06,4.913910338335011e-06,0.5421049695106972
재정보강/NNG,7,27,33,2.0718873887766454e-06,1.1056298261253776e-05,0.1873943104481422
수출/NNG;모멘텀/NNG,8,18,25,2.367871301459023e-06,7.370865507502517e-06,0.3212473893396724
잔류/NNG,22,55,76,6.511646079012314e-06,2.2522089050702138e-05,0.2891226504057051
갑작/VA,24,33,56,7.103613904377069e-06,1.3513253430421284e-05,0.5256775461921911
금현/NNG,16,65,80,4.735742602918046e-06,2.661701433264798e-05,0.1779216310188954
포승/NNG,11,17,27,3.255823039506157e-06,6.961372979307933e-06,0.4676984050680524
초과수요/NNG,28,46,73,8.287549555106581e-06,1.883665629695088e-05,0.4399692506173774
금리/NNG;하락/NNG;금리/NNG;인하/NNG,12,14,25,3.5518069521885345e-06,5.73289539472418e-06,0.6195485365836539
통안채/NNG,6393,6588,12980,0.0018922251537784,0.0026977367757459,0.7014120765193051
경제/NNG;위축/NNG,11,11,21,3.255823039506157e-06,4.504417810140428e-06,0.7228066260142628
금융상황/NNG;완화/NNG,12,12,23,3.5518069521885345e-06,4.913910338335011e-06,0.7228066260142629
스코어/NNG,16,37,52,4.735742602918046e-06,1.515122354319962e-05,0.3125650274656271
정책/NNG;종료/NNG,28,32,59,8.287549555106581e-06,1.3103760902226695e-05,0.6324557977624801
커서/NNG,38,39,76,1.124738868193036e-05,1.597020859958879e-05,0.7042731227831278
순증액/NNG,13,25,37,3.847790864870912e-06,1.0237313204864608e-05,0.3758594455274167
하방/NNG,1188,1399,2586,0.0003516288882666,0.0005728800469442,0.6137914736990309
상환일/NNG,6,18,23,1.7759034760942673e-06,7.370865507502517e-06,0.2409355420047542
농산물/NNG;가격/NNG;상승/NNG,19,22,40,5.62369434096518e-06,9.008835620280857e-06,0.624242086103227
공석/NNG,39,46,84,1.1543372594612738e-05,1.883665629695088e-05,0.6128143133599185
대외변수/NNG,42,72,113,1.243132433265987e-05,2.9483462030010068e-05,0.42163719850832
수요/NNG;급감/NNG,14,14,27,4.143774777553291e-06,5.73289539472418e-06,0.7228066260142629
무보증사채/NNG,52,57,108,1.539116345948365e-05,2.3341074107091305e-05,0.6594025360130117
수신증/NNG,187,231,417,5.534899167160466e-05,9.459277401294895e-05,0.5851291734401176
재정/NNG;불확실성/NNG,7,13,19,2.0718873887766454e-06,5.323402866529596e-06,0.3892035678538338
분포/NNG,93,119,211,2.7526503879461143e-05,4.872961085515553e-05,0.5648824892380374
신용등급/NNG;하향/NNG,81,77,157,2.397469692727261e-05,3.153092467098299e-05,0.760355022170848
연방법원/NNG,7,12,18,2.0718873887766454e-06,4.913910338335011e-06,0.42163719850832
초래/NNG,317,332,648,9.38269003203138e-05,0.0001359515193606,0.6901497001401246
